uid,predicted,n_tokens,aopc_deletion_shap,aopc_deletion_random,aopc_insertion_shap,aopc_insertion_random
tok_00663,Sadness,16,0.3733091866147443,-0.01808031124503029,0.34233232647702055,-0.3522960226592079
tok_00131,Happy,5,0.36816748899939217,0.2534001763639667,0.5185850551344323,0.30080872321829744
tok_00081,Anger,10,0.4265043332292833,0.21351251865393825,0.4161535904438285,-0.05122403890371199
tok_00654,Sadness,20,0.08296789047805435,0.16819404261651835,-0.01821627521937357,0.17838583586877263
tok_05215,Love,23,0.1947754373595691,0.017731631792503165,0.611514786131784,0.006511080274934894
tok_03636,Happy,19,0.08853335059808728,-0.011642834607712338,0.6451377124672442,0.5554535026270303
tok_04232,Love,27,0.31166788754933133,0.016634173884963088,0.5245633396357795,0.04410932392556419
tok_04823,Happy,16,0.26656461781989627,0.08269832424024852,0.5657608363659776,0.17494869036598137
tok_04541,Sadness,4,0.3328041633959698,0.28074036062379165,-0.10503469666069126,-0.11630979797190606
tok_04426,Sadness,5,0.3374598567238817,0.4482408199432508,0.0871057526584329,0.03006667702112431
tok_03256,Fear,16,0.10906122476778177,-0.0018665931713452767,0.4366008480992182,0.03579415909568001
tok_04350,Happy,4,0.7996180484357872,0.6338924303559377,0.45966315053711987,0.2087362211229009
tok_04252,Happy,17,0.041454524762778514,0.009491453148166218,0.44820786448789623,0.4647842180367923
tok_03536,Happy,27,0.01148105375659354,-0.028492803908312592,0.6165581413271879,0.25798609814748524
tok_04157,Love,96,0.10537660100465622,0.0391519900624653,0.11870468792820899,0.012021471729019842
tok_01282,Fear,6,0.08652140341666426,0.18740324006734813,0.2073214492800656,0.05586257362464755
tok_03209,Sadness,22,0.06192815552558919,0.010459572498320214,0.09448809989951432,-0.44075197415712
tok_00193,Fear,95,-0.029848755058165966,-0.05567699204700162,0.25922604197706,0.26243662411966473
tok_03239,Anger,18,0.2506333270801574,0.05063301440274517,0.2169470597644299,-0.11257339598078597
tok_03517,Happy,22,0.04774997469960508,-0.005225002340942831,0.5012459257114327,0.16369867574544322
tok_02924,Happy,12,0.4677019679522411,0.18828775986251256,0.3410290943781387,0.19590772099528744
tok_03719,Anger,32,0.04736442411736497,0.014388282226778371,0.3131739495529488,0.3141773256821952
tok_04630,Fear,22,0.31353316638240825,0.05190357641559233,0.286311314837834,0.10323872841103773
tok_01599,Anger,8,-0.10581628731006539,-0.05972253271040092,0.09656457922752026,0.2870816182919975
tok_00942,Love,9,0.5575924587996226,0.6410212565650492,0.4154359231869538,0.2633693794078606
tok_00010,Love,8,0.4204283290525594,-0.08869675326159608,0.7855366395371326,0.39866801744750047
tok_03168,Fear,10,0.09361266547346522,-0.0830955982112745,0.14091903527785113,-0.00993206646487554
